# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	66286
#@/user_id	71310d17-cb9e-48fd-97c9-73e0aea664c1
a 	啊	c=307 d=13.1151 t=66286
a 	阿	c=10 d=1.79878 t=66286
a a a a she ding de dou shi shuo shi a dui dui dui de 	啊啊啊啊設定的都是說是啊对对对的	c=1 d=1 t=66286
a bo luo 	阿波羅	c=1 d=0.99005 t=66286
a c t i o n s 	actions	c=1 d=6.11753e-43 t=66286
a d b 	adb	c=1 d=0.683861 t=66286
a d d o n s 	addons	c=1 d=0.0250972 t=66286
a d g u a r d 	AdGuard	c=21 d=3.08663 t=66286
a d o b e 	adobe	c=1 d=2.23206e-05 t=66286
a dui 	啊對	c=3 d=1.0158e-08 t=66286
a dui a 	啊對啊	c=1 d=7.61927e-08 t=66286
a dui dui dui 	啊对对对	c=2 d=1.51985 t=66286
a er fa 	阿爾法	c=6 d=1.00274 t=66286
a er fa mian ju 	阿爾法面具	c=1 d=0.937067 t=66286
a ha ha 	啊哈哈	c=1 d=1.77677e-27 t=66286
a l i p a y 	alipay	c=1 d=0.000485661 t=66286
a l p h a 	alpha	c=2 d=1 t=66286
a l t e r n a t i v e 	alternative	c=3 d=1 t=66286
a l w a y s 	always	c=1 d=0.694197 t=66286
a la bo yu 	阿拉伯語	c=1 d=0.329559 t=66286
a li pei 	阿里呸	c=9 d=2.78374 t=66286
a m a z o n 	Amazon	c=1 d=0.995012 t=66286
a n d r o i 	Androi	c=17 d=2.18884 t=66286
a n d r o i d 	android	c=16 d=3.19622 t=66286
a p a t c h 	apatch	c=1 d=2.63105e-28 t=66286
a p k 	apk	c=1 d=0.19398 t=66286
a p k m i r r o r 	apkmirror	c=34 d=3.31925 t=66286
a p k p u r e 	apkpure	c=4 d=8.18721e-62 t=66286
a p k t o o l 	apktool	c=1 d=2.18786e-05 t=66286
a p k v i s i o n 	apkvision	c=2 d=4.17075e-07 t=66286
a p p 	app	c=2 d=2.46086e-06 t=66286
a p p l e 	Apple	c=2 d=9.16921e-10 t=66286
a r c 	arc	c=5 d=2.03718 t=66286
a r c a e a 	arcaea	c=55 d=5.157 t=66286
a r c h 	arch	c=5 d=0.574072 t=66286
a r c h f i 	archfi	c=1 d=2.63974e-08 t=66286
a r c h i v e 	archive	c=2 d=0.0274618 t=66286
a r c h w i k i 	archwiki	c=2 d=0.67032 t=66286
a s s i s t a n t 	Assistant	c=1 d=2.76595e-28 t=66286
a wu 	啊呜	c=1 d=3.7763e-44 t=66286
a y u g r a m 	ayugram	c=3 d=0.00173699 t=66286
a ya 	啊呀	c=2 d=0.0769192 t=66286
a yi 	阿姨	c=2 d=0.15086 t=66286
a zhe 	啊這	c=20 d=2.63137 t=66286
ai 	哎	c=29 d=4.98695 t=66286
ai 	唉	c=11 d=2.71535 t=66286
ai 	噯	c=1 d=2.40452e-57 t=66286
ai 	愛	c=7 d=1.66322 t=66286
ai chang ge 	愛唱歌	c=1 d=6.47134e-28 t=66286
ai da 	挨打	c=22 d=4.87282 t=66286
ai er zhuo pu 	哎爾卓普	c=1 d=4.00231e-22 t=66286
ai feng 	愛風	c=1 d=6.64894e-23 t=66286
ai ge 	挨個	c=1 d=2.94649e-66 t=66286
ai guo 	愛國	c=1 d=3.4555e-29 t=66286
ai guo zhu yi 	愛國主義	c=1 d=1.39614e-73 t=66286
ai hao 	愛好	c=1 d=0.650509 t=66286
ai jia su 	爱加速	c=1 d=5.93673e-43 t=66286
ai kan 	愛看	c=3 d=0.822843 t=66286
ai li si 	愛麗絲	c=1 d=3.31708e-48 t=66286
ai liao 	愛了	c=1 d=0.818731 t=66286
ai tou 	挨透	c=8 d=0.402524 t=66286
ai wan 	愛玩	c=2 d=1.51186 t=66286
ai wan ji 	愛玩機	c=11 d=2.66692 t=66286
ai xin 	愛心	c=1 d=1 t=66286
ai yo 	哎唷	c=1 d=0.771052 t=66286
ai yong 	愛用	c=1 d=5.19585e-63 t=66286
an 	俺	c=1 d=0.00134011 t=66286
an 	安	c=14 d=1.65109 t=66286
an 	案	c=1 d=0.909373 t=66286
an an 	安安	c=2 d=2.24745e-27 t=66286
an an xin xin 	安安心心	c=1 d=2.68511e-32 t=66286
an bao 	安保	c=1 d=2.23846e-68 t=66286
an bu an quan 	安不安全	c=1 d=5.00537e-06 t=66286
an fang 	安放	c=0 d=8.8034e-32 t=66286
an fang hao 	安放好	c=1 d=8.84753e-31 t=66286
an hei 	暗黑	c=3 d=1.84153 t=66286
an hui 	安徽	c=2 d=7.1634e-68 t=66286
an jian 	安檢	c=2 d=6.33379e-39 t=66286
an jian 	按鍵	c=3 d=0.0102252 t=66286
an jian 	案件	c=3 d=2.4204 t=66286
