# Rime user dictionary
#@/db_name	nihongo-r
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	214
#@/user_id	71310d17-cb9e-48fd-97c9-73e0aea664c1
a 	あ	c=1 d=0.97531 t=214
a 	ア	c=1 d=0.895834 t=214
ai 	愛	c=1 d=0.891366 t=214
aki 	あき	c=2 d=1.96536 t=214
ano 	あの	c=1 d=0.923116 t=214
are 	あれ	c=1 d=0.470011 t=214
arisu 	アリス	c=2 d=1.33605 t=214
ashita 	明日	c=1 d=0.657047 t=214
bita 	びた	c=1 d=0.484325 t=214
bokura 	僕ら	c=1 d=0.794534 t=214
chan 	ちゃん	c=3 d=2.4681 t=214
daigaku 	大學	c=1 d=0.458406 t=214
date 	伊達	c=1 d=0.540641 t=214
de 	で	c=1 d=0.501576 t=214
do koo 	どこお	c=1 d=0.474734 t=214
etchi 	えっち	c=1 d=1 t=214
gari 	がり	c=1 d=0.585669 t=214
ge 	ゲ	c=1 d=0.882497 t=214
genjitsu 	現実	c=1 d=0.444858 t=214
genzai 	現在	c=1 d=0.634448 t=214
gomenasai 	ごめんあさい	c=1 d=0.449329 t=214
goro 	頃	c=2 d=1.96546 t=214
ha 	は	c=4 d=3.10745 t=214
ha zu re 	ハズレ	c=9 d=6.17982 t=214
hachi mi 	ハチみ	c=2 d=1.52891 t=214
hachi mi nabe ru no 	ハチみなべるの	c=1 d=0.733447 t=214
haishin 	配信	c=1 d=0.50409 t=214
hajimaru 	始まる	c=1 d=0.704688 t=214
hajimat ta 	始まった	c=1 d=0.615697 t=214
hami ko 	はみこ	c=1 d=0.980199 t=214
hana 	華	c=2 d=1.14816 t=214
hantei 	判定	c=2 d=1.52353 t=214
higurashi 	ひぐらし	c=2 d=1.9362 t=214
hiru 	昼	c=1 d=0.579842 t=214
hon dou 	ほんどう	c=1 d=0.447088 t=214
i 	い	c=1 d=0.465334 t=214
i 	イ	c=1 d=0.900325 t=214
i ka 	イカ	c=1 d=0.546074 t=214
i kataruto 	いかたると	c=1 d=0.543351 t=214
ima sen 	いません	c=1 d=0.644036 t=214
imasara 	いまさら	c=1 d=0.995012 t=214
imouto 	妹	c=1 d=0.995012 t=214
ingo 	隠語	c=1 d=0.453845 t=214
isekai 	異世界	c=1 d=0.499074 t=214
ishu 	異種	c=1 d=0.995012 t=214
ja 	じゃ	c=1 d=0.865022 t=214
ka ku yomu 	カクヨム	c=1 d=0.718924 t=214
kaijuu 	怪獣	c=2 d=1.96062 t=214
kame ria 	かめりあ	c=1 d=0.472367 t=214
kamisama 	神様	c=1 d=0.99005 t=214
kanashi uta 	悲しうた	c=1 d=0.99005 t=214
kanojo 	彼女	c=1 d=0.511709 t=214
kara 	から	c=3 d=1.92033 t=214
katsudou 	活動	c=1 d=0.506617 t=214
ko 	子	c=2 d=1.97032 t=214
koi 	恋	c=1 d=0.860708 t=214
koi kokoro 	恋心	c=1 d=0.600496 t=214
komaru 	困る	c=1 d=0.83527 t=214
komi 	コミ	c=2 d=1.24067 t=214
koneku 	コネク	c=1 d=0.486752 t=214
kono 	この	c=1 d=0.625002 t=214
koro 	頃	c=1 d=0.532592 t=214
koukai 	公開	c=1 d=0.637628 t=214
