          adguardhome |      default                           
          agetty.tty1 |      default                           
          agetty.tty2 |      default                           
          agetty.tty3 |      default                           
          agetty.tty4 |      default                           
          agetty.tty5 |      default                           
          agetty.tty6 |      default                           
               binfmt | boot                                   
           bluetoothd | boot                                   
             bootmisc | boot                                   
              cgroups |                                 sysinit
                 dbus |      default                           
                devfs |                                 sysinit
                dmesg |                                 sysinit
              elogind | boot                                   
            esysusers | boot                                   
        etmpfiles-dev |                                 sysinit
      etmpfiles-setup | boot                                   
                 fsck | boot                                   
                 fuse |      default                           
             hostname | boot                                   
              hwclock | boot                                   
                  iwd |      default                           
              keymaps | boot                                   
            killprocs |                        shutdown        
    kmod-static-nodes |                                 sysinit
                local |      default nonetwork                 
           localmount | boot                                   
             loopback | boot                                   
                   ly |      default                           
              modules | boot                                   
             mount-ro |                        shutdown        
                 mtab | boot                                   
               net.lo | boot                                   
            net.wlan0 |      default                           
             netmount |      default                           
               procfs | boot                                   
                 root | boot                                   
         save-keymaps | boot                                   
    save-termencoding | boot                                   
            savecache |                        shutdown        
              seedrng | boot                                   
                 swap | boot                                   
               sysctl | boot                                   
                sysfs |                                 sysinit
         termencoding | boot                                   
                  tlp |      default                           
                 udev |                                 sysinit
         udev-trigger |                                 sysinit
